종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
225030,4,TIGER 미국S&P500선물인버스(H),3260,2,5,0.15,3253.0,-3.269,15044,48,72,해외 주식,TIGER,True,False,True
460280,2,KOSEF Fn유전자혁신기술,9560,2,20,0.21,9594.0,9.2157,3880,37,72,국내 업종/테마,KOSEF,False,False,False
205720,4,ACE 일본TOPIX인버스(합성 H),2650,2,45,1.73,2662.0,-8.9161,17997,47,72,해외 주식,ACE,True,False,True
457990,2,ARIRANG 태양광&ESS Fn,10205,2,90,0.89,10207.0,33.8671,2918,29,71,국내 업종/테마,ARIRANG,False,False,False
429740,7,ARIRANG K리츠Fn,7135,2,85,1.21,7169.0,5.3811,24093,171,71,기타,ARIRANG,False,False,False
322410,2,HANARO 고배당,12970,2,170,1.33,13002.0,2.7452,2044,26,71,국내 업종/테마,HANARO,False,False,False
227830,1,ARIRANG 코스피,28400,2,45,0.16,28460.0,5.4285,20,0,71,국내 시장지수,ARIRANG,False,False,False
432600,6,KBSTAR 국채선물3년,52990,2,100,0.19,52947.0,-0.1322,4,0,71,채권,KBSTAR,False,False,False
189400,4,ARIRANG 글로벌MSCI(합성 H),18165,2,15,0.08,18250.0,4.1308,62,1,71,해외 주식,ARIRANG,False,False,True
305050,1,ACE 코스피,28210,2,90,0.32,28230.0,5.5357,8225,231,71,국내 시장지수,ACE,False,False,False
435550,7,히어로즈 TDF2050액티브,12780,2,65,0.51,12754.0,6.4016,839,10,70,기타,히어로즈,False,False,False
157500,2,TIGER 증권,5080,2,85,1.7,5095.0,4.981,3328,16,70,국내 업종/테마,TIGER,False,False,False
402520,1,FOCUS 혁신기업액티브,8745,2,30,0.34,8775.0,10.3863,206,1,70,국내 시장지수,FOCUS,False,False,False
373790,4,KOSEF 미국방어배당성장나스닥,13945,2,150,1.09,13986.0,5.1688,2629,36,70,해외 주식,KOSEF,False,False,False
304760,1,HANARO KRX300,17395,3,0,0.0,17428.0,7.5026,0,0,70,국내 시장지수,HANARO,False,False,False
304670,6,KODEX 미국30년국채울트라선물인버스(H),11545,5,-25,-0.22,11580.0,5.2296,2635,30,69,채권,KODEX,True,False,True
166400,3,TIGER 200커버드콜5%OTM,13685,2,55,0.4,13704.0,7.7896,1139,15,68,국내 파생,TIGER,False,False,False
251590,2,ARIRANG 고배당저변동50,12440,2,60,0.48,12461.0,2.4156,361,4,68,국내 업종/테마,ARIRANG,False,False,False
322150,2,ACE 스마트하이베타,13610,2,50,0.37,13624.0,6.9822,20,0,68,국내 업종/테마,ACE,False,False,False
419170,4,HANARO 미국메타버스iSelect,13570,2,140,1.04,13393.0,3.4668,165,2,68,해외 주식,HANARO,False,False,False
429990,7,SOL 한국형글로벌플랫폼&메타버스액티브,13460,5,-45,-0.33,13550.0,10.4974,33,0,67,기타,SOL,False,False,False
