종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
SK바이오사이언스,59900.0,상승  100,+0.17%,59900.0,60000.0,42194.0,2529.0,92371.0,2024-05-12,302440,,,,,,,,13900000,13900000,255543,1.84%,101.57,+0.31%,코스피,2756,534,25000,19370,5630,1.2906556530717606,34900.0,2.396,31000.0,4.0,매수,14.58,1360,0.95,20772.0,4.03
유한양행,71600.0,상승  100,+0.14%,71600.0,71700.0,202462.0,14574.0,218010.0,2024-05-12,000100,,,,,,,,11569113,11569113,994080,8.59%,101.57,+0.31%,코스피,2591,558,32150,20700,11450,1.5531400966183575,39450.0,2.2270606531881803,,,,42.34,529,0.59,38283.0,0.45
코미팜 *,4120.0,상승  5,+0.12%,4120.0,4125.0,42023.0,173.0,84627.0,2024-05-12,041960,,,,,,,,6000000,6000000,1033931,17.23%,101.57,+0.31%,코스닥,1716,531,29650,25500,4150,1.1627450980392158,-25530.0,0.13895446880269816,,,,6.04,4738,0.68,42172.0,2.62
텔콘RF제약 *,815.0,상승  1,+0.12%,814.0,815.0,226671.0,184.0,491011.0,2024-05-12,200230,,,,,,,,29129064,29129064,672086,2.31%,101.57,+0.31%,코스닥,606,1201,2605,1555,1050,1.67524115755627,-1790.0,0.31285988483685223,,,,,-50,1.81,1150.0,
경남제약 *,1225.0,상승  1,+0.08%,1224.0,1225.0,154578.0,190.0,109747.0,2024-05-12,053950,,,,,,,,74163194,74163194,192775,0.26%,101.57,+0.31%,코스닥,288,1554,1055,352,703,2.997159090909091,170.0,1.161137440758294,,,,,-284,0.38,1019.0,
박셀바이오 *,16000.0,상승  10,+0.06%,16000.0,16010.0,60093.0,963.0,96590.0,2024-05-12,323990,136.0,14.0,-48.0,10.26,-35.16,-139.0,-50.99,35305182,35305182,975235,2.76%,101.57,+0.31%,코스닥,2454,360,8410,5250,3160,1.601904761904762,7590.0,1.9024970273483948,8000.0,4.0,매수,64.35,108,3.12,2230.0,
일동홀딩스,8850.0,보합0,0.00%,8800.0,8850.0,9209.0,81.0,11091.0,2024-05-12,000230,,,,,,,,23906860,23906860,388671,1.63%,101.57,+0.31%,코스피,1779,699,10950,6060,4890,1.806930693069307,-2100.0,0.8082191780821918,,,,60.0,124,1.23,6039.0,0.67
녹십자홀딩스2우,26750.0,보합0,0.00%,26800.0,26850.0,39.0,1.0,30.0,2024-05-12,005257,,,,,,,,5392115,5392115,12051,0.22%,101.57,+0.31%,코스피,755,1063,22800,11300,11500,2.017699115044248,3950.0,1.1732456140350878,,,,,-255,0.7,20110.0,
삼진제약,19830.0,보합0,0.00%,19820.0,19830.0,8329.0,164.0,8692.0,2024-05-12,005500,,,,,,,,7674103,7674103,18474,0.24%,101.57,+0.31%,코스피,364,1474,11320,3955,7365,2.862199747155499,8510.0,1.7517667844522968,,,,23.24,204,2.7,1755.0,1.05
서흥,22400.0,보합0,0.00%,22400.0,22500.0,4266.0,95.0,5302.0,2024-05-12,008490,,,,,,,,14974158,14974158,216356,1.44%,101.57,+0.31%,코스피,1075,811,19520,6550,12970,2.980152671755725,2880.0,1.1475409836065573,,,,,-2971,1.86,3862.0,
대한약품 *,28600.0,보합0,0.00%,28550.0,28600.0,2439.0,70.0,3113.0,2024-05-12,023910,,,,,,,,61501469,61501469,23547600,38.29%,105.4,+0.31%,코스닥,2525,346,5550,3850,1700,1.4415584415584415,23050.0,5.153153153153153,,,,,-434,2.74,1496.0,
제일바이오 *,2080.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,052670,,,,,,,,288232166,288232166,0,0.00%,105.4,+0.31%,코스닥,314,1525,203,107,96,1.897196261682243,1877.0,10.246305418719212,,,,1.2,91,0.07,1504.0,
