종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.12),추정PERlEPS,PBRlBPS (2023.12),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2023.12,배당수익률l2024.02,PERlEPS(2024.02),PBRlBPS (2024.02),배당수익률l2024.03,배당수익률l2024.01,배당수익률l2024.04
신신제약 *,5650.0,상승  30,+0.53%,5650.0,5660.0,106217.0,605.0,42797.0,2024-05-12,신신제약,002800,,,,,,,,,,,,,,,,,"1조  1,384  억원",코스피 225위,58141980,500원  l  1주,58141980,3378656,5.81%,N/A  l  N/A,"27,100  l  11,460","7.46배  l  2,626원",N/A  l  N/A,"0.86배  l  22,861원",,101.57배,+0.31%,0.51%,,,,,,
녹십자홀딩스,15850.0,상승  80,+0.51%,15800.0,15850.0,21938.0,347.0,32853.0,2024-05-12,녹십자홀딩스,005250,,,,,,,,,,,,,,,,,114  억원,코스피 1730위,2266930,"1,000원  l  1주",2266930,12815,0.57%,N/A  l  N/A,"11,020  l  4,010",N/A  l  -364원,N/A  l  N/A,"0.84배  l  5,976원",,101.57배,+0.31%,,,,,,,
유유제약2우B,11150.0,상승  50,+0.45%,11060.0,11150.0,558.0,6.0,691.0,2024-05-12,유유제약2우B,000227,,,,,,,,,,,,,,,,,"1,001  억원",코스닥 869위,23709280,500원  l  1주,23709280,12033828,50.76%,N/A  l  N/A,"9,750  l  2,610",26.71배  l  158원,N/A  l  N/A,"1.82배  l  2,316원",,101.57배,+0.31%,,,,,,,
옵티팜 *,6740.0,상승  30,+0.45%,6730.0,6740.0,9391.0,63.0,15212.0,2024-05-12,옵티팜,153710,1896.0,253.0,172.0,13.35,9.07,,,,,717.0,42.62,,,,,,101  억원,코스피 1810위,341951,"2,500원  l  1주",341951,68,0.02%,"4.00매수  l  44,750","35,900  l  28,250","19.78배  l  1,486원","10.00배  l  2,955원","2.72배  l  10,789원",,101.57배,+0.31%,1.44%,,,,,,
녹십자,114600.0,상승  500,+0.44%,114600.0,114800.0,7370.0,846.0,20853.0,2024-05-12,녹십자,006280,,,,,,,,,,,,,,,,,"1,926  억원",코스피 665위,20871467,500원  l  1주,20871467,889735,4.26%,N/A  l  N/A,"12,650  l  5,690",83.91배  l  110원,N/A  l  N/A,"1.04배  l  8,838원",,101.57배,+0.31%,,,,,,,
대웅,19580.0,상승  80,+0.41%,19480.0,19580.0,32211.0,635.0,34175.0,2024-05-12,대웅,003090,4647.0,144.0,233.0,3.1,5.01,,,,,324.0,218.89,,,,,,731  억원,코스피 1022위,1180940,"1,000원  l  1주",1180940,4324,0.37%,"4.00매수  l  92,000","73,400  l  52,400","37.02배  l  1,672원","32.00배  l  1,905원","2.26배  l  27,356원",,101.57배,+0.31%,0.74%,,,,,,
유유제약1우,5020.0,상승  20,+0.40%,4990.0,5020.0,3151.0,15.0,2037.0,2024-05-12,유유제약1우,000225,,,,,,,,,,,,,,,,,551  억원,코스닥 1265위,8892384,200원  l  1주,8892384,21345,0.24%,N/A  l  N/A,"7,520  l  5,600",20.95배  l  296원,N/A  l  N/A,"0.64배  l  9,675원",,101.57배,+0.31%,1.61%,,,,,,
드림씨아이에스 *,4220.0,상승  15,+0.36%,4215.0,4220.0,605510.0,2533.0,9511647.0,2024-05-12,드림씨아이에스,223250,,,,,,,,,,,,,,,,,"1,053  억원",코스피 899위,21159832,"1,000원  l  1주",21159832,929806,4.39%,N/A  l  N/A,"8,120  l  3,530",N/A  l  -398원,N/A  l  N/A,"1.19배  l  4,194원",,101.57배,+0.31%,,,,,,,
JW중외제약우,29400.0,상승  100,+0.34%,29000.0,29400.0,204.0,5.0,299.0,2024-05-12,JW중외제약우,001065,,,,,,,,,,,,,,,,,853  억원,코스닥 974위,11986415,500원  l  1주,11986415,160874,1.34%,N/A  l  N/A,"8,380  l  6,280","6.26배  l  1,138원",N/A  l  N/A,"0.61배  l  11,670원",,101.57배,+0.31%,2.39%,,,,,,
삼일제약,9230.0,상승  30,+0.33%,9220.0,9230.0,300135.0,2764.0,268546.0,2024-05-12,삼일제약,000520,,,,,,,,,,,,,,,,,"1,083  억원",코스닥 802위,66532826,500원  l  1주,66532826,777803,1.17%,N/A  l  N/A,"2,410  l  1,550",28.07배  l  58원,N/A  l  N/A,"0.60배  l  2,718원",,101.57배,+0.31%,,,,,,,
